Temporada,Jornada,Fecha,Equipo local,Goles local,Goles visita,Equipo visitante
00-01,Jornada 1,9/9/2000,Barcelona,2,1,Málaga
00-01,Jornada 1,9/9/2000,Deportivo de La Coruña,2,0,Athletic Club
00-01,Jornada 1,9/9/2000,Real Sociedad,2,2,Racing de Santander
00-01,Jornada 1,9/9/2000,Real Madrid,2,1,Valencia
00-01,Jornada 1,9/9/2000,Real Zaragoza,1,2,Espanyol
00-01,Jornada 1,9/10/2000,Las Palmas,0,3,Alavés
00-01,Jornada 1,9/10/2000,Mallorca,1,1,Valladolid
00-01,Jornada 1,9/10/2000,Numancia,1,0,Real Oviedo
00-01,Jornada 1,9/10/2000,Osasuna,0,2,Celta de Vigo
00-01,Jornada 1,9/10/2000,Villarreal,1,5,Rayo Vallecano
00-01,Jornada 2,9/16/2000,Athletic Club,3,1,Barcelona
00-01,Jornada 2,9/16/2000,Málaga,3,3,Real Madrid
00-01,Jornada 2,9/16/2000,Racing de Santander,0,3,Deportivo de La Coruña
00-01,Jornada 2,9/16/2000,Valencia,4,0,Mallorca
00-01,Jornada 2,9/16/2000,Valladolid,2,0,Numancia
00-01,Jornada 2,9/17/2000,Celta de Vigo,4,1,Real Sociedad
00-01,Jornada 2,9/17/2000,Alavés,0,1,Villarreal
00-01,Jornada 2,9/17/2000,Espanyol,1,2,Osasuna
00-01,Jornada 2,9/17/2000,Rayo Vallecano,0,0,Real Zaragoza
00-01,Jornada 2,9/17/2000,Real Oviedo,2,2,Las Palmas
00-01,Jornada 3,9/23/2000,Barcelona,3,1,Racing de Santander
00-01,Jornada 3,9/23/2000,Las Palmas,1,1,Valladolid
00-01,Jornada 3,9/23/2000,Real Sociedad,1,1,Deportivo de La Coruña
00-01,Jornada 3,9/23/2000,Real Madrid,4,1,Athletic Club
00-01,Jornada 3,9/23/2000,Real Zaragoza,2,2,Alavés
00-01,Jornada 3,9/24/2000,Celta de Vigo,1,0,Espanyol
00-01,Jornada 3,9/24/2000,Mallorca,0,1,Málaga
00-01,Jornada 3,9/24/2000,Numancia,0,3,Valencia
00-01,Jornada 3,9/24/2000,Osasuna,2,2,Rayo Vallecano
00-01,Jornada 3,9/24/2000,Villarreal,1,0,Real Oviedo
00-01,Jornada 4,9/30/2000,Racing de Santander,0,0,Real Madrid
00-01,Jornada 4,10/1/2000,Athletic Club,2,1,Mallorca
00-01,Jornada 4,10/1/2000,Alavés,2,0,Osasuna
00-01,Jornada 4,10/1/2000,Deportivo de La Coruña,2,0,Barcelona
00-01,Jornada 4,10/1/2000,Málaga,1,3,Numancia
00-01,Jornada 4,10/1/2000,Rayo Vallecano,3,0,Celta de Vigo
00-01,Jornada 4,10/1/2000,Real Oviedo,2,1,Real Zaragoza
00-01,Jornada 4,10/1/2000,Valencia,5,1,Las Palmas
00-01,Jornada 4,10/1/2000,Valladolid,0,0,Villarreal
00-01,Jornada 4,10/18/2000,Espanyol,1,2,Real Sociedad
00-01,Jornada 5,10/14/2000,Espanyol,0,0,Rayo Vallecano
00-01,Jornada 5,10/14/2000,Las Palmas,2,1,Málaga
00-01,Jornada 5,10/14/2000,Real Sociedad,0,6,Barcelona
00-01,Jornada 5,10/14/2000,Real Madrid,3,0,Deportivo de La Coruña
00-01,Jornada 5,10/14/2000,Villarreal,1,1,Valencia
00-01,Jornada 5,10/15/2000,Celta de Vigo,1,1,Alavés
00-01,Jornada 5,10/15/2000,Mallorca,2,1,Racing de Santander
00-01,Jornada 5,10/15/2000,Numancia,0,0,Athletic Club
00-01,Jornada 5,10/15/2000,Osasuna,0,0,Real Oviedo
00-01,Jornada 5,10/15/2000,Real Zaragoza,0,0,Valladolid
00-01,Jornada 6,10/21/2000,Barcelona,2,0,Real Madrid
00-01,Jornada 6,10/21/2000,Deportivo de La Coruña,1,1,Mallorca
00-01,Jornada 6,10/21/2000,Valencia,1,0,Real Zaragoza
00-01,Jornada 6,10/22/2000,Athletic Club,0,3,Las Palmas
00-01,Jornada 6,10/22/2000,Alavés,1,0,Espanyol
00-01,Jornada 6,10/22/2000,Málaga,2,1,Villarreal
00-01,Jornada 6,10/22/2000,Racing de Santander,4,2,Numancia
00-01,Jornada 6,10/22/2000,Rayo Vallecano,4,1,Real Sociedad
00-01,Jornada 6,10/22/2000,Real Oviedo,3,1,Celta de Vigo
00-01,Jornada 6,10/22/2000,Valladolid,1,1,Osasuna
00-01,Jornada 7,10/28/2000,Las Palmas,2,1,Racing de Santander
00-01,Jornada 7,10/28/2000,Mallorca,2,0,Barcelona
00-01,Jornada 7,10/28/2000,Numancia,1,2,Deportivo de La Coruña
00-01,Jornada 7,10/28/2000,Villarreal,0,0,Athletic Club
00-01,Jornada 7,10/28/2000,Real Zaragoza,1,1,Málaga
00-01,Jornada 7,10/29/2000,Celta de Vigo,2,1,Valladolid
00-01,Jornada 7,10/29/2000,Espanyol,2,0,Real Oviedo
00-01,Jornada 7,10/29/2000,Osasuna,1,2,Valencia
00-01,Jornada 7,10/29/2000,Real Sociedad,1,4,Real Madrid
00-01,Jornada 7,10/29/2000,Rayo Vallecano,0,1,Alavés
00-01,Jornada 8,10/31/2000,Deportivo de La Coruña,4,0,Las Palmas
00-01,Jornada 8,11/1/2000,Athletic Club,1,2,Real Zaragoza
00-01,Jornada 8,11/1/2000,Barcelona,1,1,Numancia
00-01,Jornada 8,11/1/2000,Alavés,0,1,Real Sociedad
00-01,Jornada 8,11/1/2000,Málaga,3,1,Osasuna
00-01,Jornada 8,11/1/2000,Racing de Santander,3,1,Villarreal
00-01,Jornada 8,11/1/2000,Real Madrid,0,2,Mallorca
00-01,Jornada 8,11/1/2000,Real Oviedo,4,1,Rayo Vallecano
00-01,Jornada 8,11/1/2000,Valencia,1,0,Celta de Vigo
00-01,Jornada 8,11/1/2000,Valladolid,1,1,Espanyol
00-01,Jornada 9,11/4/2000,Celta de Vigo,1,0,Málaga
00-01,Jornada 9,11/4/2000,Espanyol,1,0,Valencia
00-01,Jornada 9,11/4/2000,Las Palmas,0,1,Barcelona
00-01,Jornada 9,11/4/2000,Numancia,3,1,Real Madrid
00-01,Jornada 9,11/4/2000,Villarreal,3,2,Deportivo de La Coruña
00-01,Jornada 9,11/5/2000,Alavés,4,0,Real Oviedo
00-01,Jornada 9,11/5/2000,Osasuna,1,1,Athletic Club
00-01,Jornada 9,11/5/2000,Real Sociedad,0,1,Mallorca
00-01,Jornada 9,11/5/2000,Rayo Vallecano,2,1,Valladolid
00-01,Jornada 9,11/5/2000,Real Zaragoza,2,0,Racing de Santander
00-01,Jornada 10,11/11/2000,Deportivo de La Coruña,2,0,Real Zaragoza
00-01,Jornada 10,11/12/2000,Athletic Club,2,1,Celta de Vigo
00-01,Jornada 10,11/12/2000,Barcelona,1,2,Villarreal
00-01,Jornada 10,11/12/2000,Málaga,0,0,Espanyol
00-01,Jornada 10,11/12/2000,Mallorca,2,1,Numancia
00-01,Jornada 10,11/12/2000,Racing de Santander,0,0,Osasuna
00-01,Jornada 10,11/12/2000,Real Madrid,5,1,Las Palmas
00-01,Jornada 10,11/12/2000,Real Oviedo,1,0,Real Sociedad
00-01,Jornada 10,11/12/2000,Valencia,2,2,Rayo Vallecano
00-01,Jornada 10,11/12/2000,Valladolid,2,1,Alavés
00-01,Jornada 11,11/18/2000,Alavés,1,1,Valencia
00-01,Jornada 11,11/18/2000,Las Palmas,1,0,Mallorca
00-01,Jornada 11,11/18/2000,Osasuna,1,1,Deportivo de La Coruña
00-01,Jornada 11,11/18/2000,Villarreal,0,1,Real Madrid
00-01,Jornada 11,11/19/2000,Celta de Vigo,1,1,Racing de Santander
00-01,Jornada 11,11/19/2000,Espanyol,2,1,Athletic Club
00-01,Jornada 11,11/19/2000,Real Sociedad,4,1,Numancia
00-01,Jornada 11,11/19/2000,Rayo Vallecano,4,2,Málaga
00-01,Jornada 11,11/19/2000,Real Oviedo,4,1,Valladolid
00-01,Jornada 11,11/19/2000,Real Zaragoza,3,1,Barcelona
00-01,Jornada 12,11/25/2000,Mallorca,2,1,Villarreal
00-01,Jornada 12,11/26/2000,Athletic Club,4,2,Rayo Vallecano
00-01,Jornada 12,11/26/2000,Barcelona,2,0,Osasuna
00-01,Jornada 12,11/26/2000,Deportivo de La Coruña,1,0,Celta de Vigo
00-01,Jornada 12,11/26/2000,Málaga,3,1,Alavés
00-01,Jornada 12,11/26/2000,Numancia,0,1,Las Palmas
00-01,Jornada 12,11/26/2000,Racing de Santander,1,2,Espanyol
00-01,Jornada 12,11/26/2000,Valencia,2,0,Real Oviedo
00-01,Jornada 12,11/26/2000,Valladolid,2,1,Real Sociedad
00-01,Jornada 12,1/24/2001,Real Madrid,3,0,Real Zaragoza
00-01,Jornada 13,12/2/2000,Celta de Vigo,3,3,Barcelona
00-01,Jornada 13,12/2/2000,Espanyol,0,2,Deportivo de La Coruña
00-01,Jornada 13,12/2/2000,Osasuna,2,3,Real Madrid
00-01,Jornada 13,12/2/2000,Rayo Vallecano,4,1,Racing de Santander
00-01,Jornada 13,12/2/2000,Valladolid,0,0,Valencia
00-01,Jornada 13,12/3/2000,Alavés,2,1,Athletic Club
00-01,Jornada 13,12/3/2000,Real Sociedad,1,1,Las Palmas
00-01,Jornada 13,12/3/2000,Real Oviedo,3,2,Málaga
00-01,Jornada 13,12/3/2000,Villarreal,0,0,Numancia
00-01,Jornada 13,12/3/2000,Real Zaragoza,1,1,Mallorca
00-01,Jornada 14,12/9/2000,Las Palmas,1,5,Villarreal
00-01,Jornada 14,12/9/2000,Numancia,1,1,Real Zaragoza
00-01,Jornada 14,12/9/2000,Valencia,2,0,Real Sociedad
00-01,Jornada 14,12/10/2000,Athletic Club,4,0,Real Oviedo
00-01,Jornada 14,12/10/2000,Barcelona,4,2,Espanyol
00-01,Jornada 14,12/10/2000,Deportivo de La Coruña,1,1,Rayo Vallecano
00-01,Jornada 14,12/10/2000,Málaga,3,1,Valladolid
00-01,Jornada 14,12/10/2000,Mallorca,1,1,Osasuna
00-01,Jornada 14,12/10/2000,Racing de Santander,2,1,Alavés
00-01,Jornada 14,12/10/2000,Real Madrid,3,0,Celta de Vigo
00-01,Jornada 15,12/16/2000,Alavés,3,1,Deportivo de La Coruña
00-01,Jornada 15,12/16/2000,Espanyol,1,2,Real Madrid
00-01,Jornada 15,12/16/2000,Real Sociedad,0,2,Villarreal
00-01,Jornada 15,12/16/2000,Rayo Vallecano,2,2,Barcelona
00-01,Jornada 15,12/16/2000,Real Zaragoza,3,1,Las Palmas
00-01,Jornada 15,12/17/2000,Celta de Vigo,2,2,Mallorca
00-01,Jornada 15,12/17/2000,Osasuna,2,0,Numancia
00-01,Jornada 15,12/17/2000,Real Oviedo,1,0,Racing de Santander
00-01,Jornada 15,12/17/2000,Valencia,2,0,Málaga
00-01,Jornada 15,12/17/2000,Valladolid,0,0,Athletic Club
00-01,Jornada 16,12/19/2000,Real Madrid,3,1,Rayo Vallecano
00-01,Jornada 16,12/20/2000,Athletic Club,1,1,Valencia
00-01,Jornada 16,12/20/2000,Barcelona,3,2,Alavés
00-01,Jornada 16,12/20/2000,Deportivo de La Coruña,3,0,Real Oviedo
00-01,Jornada 16,12/20/2000,Las Palmas,3,2,Osasuna
00-01,Jornada 16,12/20/2000,Málaga,3,0,Real Sociedad
00-01,Jornada 16,12/20/2000,Mallorca,3,2,Espanyol
00-01,Jornada 16,12/20/2000,Numancia,4,2,Celta de Vigo
00-01,Jornada 16,12/20/2000,Racing de Santander,2,2,Valladolid
00-01,Jornada 16,12/20/2000,Villarreal,1,1,Real Zaragoza
00-01,Jornada 17,1/6/2001,Málaga,2,1,Athletic Club
00-01,Jornada 17,1/7/2001,Celta de Vigo,0,1,Las Palmas
00-01,Jornada 17,1/7/2001,Alavés,1,3,Real Madrid
00-01,Jornada 17,1/7/2001,Espanyol,2,0,Numancia
00-01,Jornada 17,1/7/2001,Osasuna,1,0,Villarreal
00-01,Jornada 17,1/7/2001,Real Sociedad,1,1,Real Zaragoza
00-01,Jornada 17,1/7/2001,Rayo Vallecano,2,2,Mallorca
00-01,Jornada 17,1/7/2001,Real Oviedo,2,3,Barcelona
00-01,Jornada 17,1/7/2001,Valencia,1,0,Racing de Santander
00-01,Jornada 17,1/7/2001,Valladolid,3,1,Deportivo de La Coruña
00-01,Jornada 18,1/13/2001,Barcelona,3,1,Valladolid
00-01,Jornada 18,1/13/2001,Deportivo de La Coruña,2,0,Valencia
00-01,Jornada 18,1/14/2001,Las Palmas,1,0,Espanyol
00-01,Jornada 18,1/14/2001,Mallorca,4,3,Alavés
00-01,Jornada 18,1/14/2001,Numancia,0,2,Rayo Vallecano
00-01,Jornada 18,1/14/2001,Racing de Santander,0,1,Málaga
00-01,Jornada 18,1/14/2001,Real Sociedad,0,2,Athletic Club
00-01,Jornada 18,1/14/2001,Real Madrid,4,0,Real Oviedo
00-01,Jornada 18,1/14/2001,Villarreal,2,0,Celta de Vigo
00-01,Jornada 18,1/14/2001,Real Zaragoza,4,2,Osasuna
00-01,Jornada 19,1/20/2001,Valencia,0,1,Barcelona
00-01,Jornada 19,1/21/2001,Athletic Club,3,1,Racing de Santander
00-01,Jornada 19,1/21/2001,Celta de Vigo,1,1,Real Zaragoza
00-01,Jornada 19,1/21/2001,Alavés,0,2,Numancia
00-01,Jornada 19,1/21/2001,Espanyol,2,1,Villarreal
00-01,Jornada 19,1/21/2001,Málaga,1,3,Deportivo de La Coruña
00-01,Jornada 19,1/21/2001,Osasuna,1,1,Real Sociedad
00-01,Jornada 19,1/21/2001,Rayo Vallecano,1,1,Las Palmas
00-01,Jornada 19,1/21/2001,Real Oviedo,1,1,Mallorca
00-01,Jornada 19,1/21/2001,Valladolid,2,2,Real Madrid
00-01,Jornada 20,1/27/2001,Athletic Club,2,2,Deportivo de La Coruña
00-01,Jornada 20,1/27/2001,Espanyol,5,0,Real Zaragoza
00-01,Jornada 20,1/27/2001,Málaga,0,0,Barcelona
00-01,Jornada 20,1/28/2001,Celta de Vigo,1,0,Osasuna
00-01,Jornada 20,1/28/2001,Alavés,1,0,Las Palmas
00-01,Jornada 20,1/28/2001,Racing de Santander,1,4,Real Sociedad
00-01,Jornada 20,1/28/2001,Rayo Vallecano,0,1,Villarreal
00-01,Jornada 20,1/28/2001,Real Oviedo,3,0,Numancia
00-01,Jornada 20,1/28/2001,Valencia,0,1,Real Madrid
00-01,Jornada 20,1/28/2001,Valladolid,2,0,Mallorca
00-01,Jornada 21,2/3/2001,Barcelona,7,0,Athletic Club
00-01,Jornada 21,2/4/2001,Deportivo de La Coruña,2,1,Racing de Santander
00-01,Jornada 21,2/4/2001,Las Palmas,1,0,Real Oviedo
00-01,Jornada 21,2/4/2001,Mallorca,2,2,Valencia
00-01,Jornada 21,2/4/2001,Numancia,0,0,Valladolid
00-01,Jornada 21,2/4/2001,Osasuna,1,3,Espanyol
00-01,Jornada 21,2/4/2001,Real Sociedad,2,2,Celta de Vigo
00-01,Jornada 21,2/4/2001,Real Madrid,4,3,Málaga
00-01,Jornada 21,2/4/2001,Villarreal,2,0,Alavés
00-01,Jornada 21,2/4/2001,Real Zaragoza,6,1,Rayo Vallecano
00-01,Jornada 22,2/10/2001,Athletic Club,1,0,Real Madrid
00-01,Jornada 22,2/10/2001,Deportivo de La Coruña,4,1,Real Sociedad
00-01,Jornada 22,2/10/2001,Espanyol,0,1,Celta de Vigo
00-01,Jornada 22,2/10/2001,Rayo Vallecano,2,1,Osasuna
00-01,Jornada 22,2/10/2001,Valencia,3,0,Numancia
00-01,Jornada 22,2/11/2001,Alavés,1,0,Real Zaragoza
00-01,Jornada 22,2/11/2001,Málaga,0,1,Mallorca
00-01,Jornada 22,2/11/2001,Racing de Santander,4,0,Barcelona
00-01,Jornada 22,2/11/2001,Real Oviedo,1,3,Villarreal
00-01,Jornada 22,2/11/2001,Valladolid,1,0,Las Palmas
00-01,Jornada 23,2/17/2001,Barcelona,2,3,Deportivo de La Coruña
00-01,Jornada 23,2/17/2001,Las Palmas,0,2,Valencia
00-01,Jornada 23,2/17/2001,Real Madrid,1,0,Racing de Santander
00-01,Jornada 23,2/18/2001,Celta de Vigo,1,1,Rayo Vallecano
00-01,Jornada 23,2/18/2001,Mallorca,1,0,Athletic Club
00-01,Jornada 23,2/18/2001,Numancia,3,2,Málaga
00-01,Jornada 23,2/18/2001,Osasuna,0,1,Alavés
00-01,Jornada 23,2/18/2001,Real Sociedad,2,1,Espanyol
00-01,Jornada 23,2/18/2001,Villarreal,2,1,Valladolid
00-01,Jornada 23,2/18/2001,Real Zaragoza,5,2,Real Oviedo
00-01,Jornada 24,2/24/2001,Deportivo de La Coruña,2,2,Real Madrid
00-01,Jornada 24,2/25/2001,Athletic Club,3,1,Numancia
00-01,Jornada 24,2/25/2001,Barcelona,3,0,Real Sociedad
00-01,Jornada 24,2/25/2001,Alavés,2,2,Celta de Vigo
00-01,Jornada 24,2/25/2001,Málaga,2,1,Las Palmas
00-01,Jornada 24,2/25/2001,Racing de Santander,2,1,Mallorca
00-01,Jornada 24,2/25/2001,Rayo Vallecano,1,1,Espanyol
00-01,Jornada 24,2/25/2001,Real Oviedo,2,3,Osasuna
00-01,Jornada 24,2/25/2001,Valencia,3,1,Villarreal
00-01,Jornada 24,2/25/2001,Valladolid,2,0,Real Zaragoza
00-01,Jornada 25,3/3/2001,Mallorca,2,1,Deportivo de La Coruña
00-01,Jornada 25,3/3/2001,Real Sociedad,2,0,Rayo Vallecano
00-01,Jornada 25,3/3/2001,Real Madrid,2,2,Barcelona
00-01,Jornada 25,3/3/2001,Real Zaragoza,1,1,Valencia
00-01,Jornada 25,3/4/2001,Celta de Vigo,1,0,Real Oviedo
00-01,Jornada 25,3/4/2001,Espanyol,0,0,Alavés
00-01,Jornada 25,3/4/2001,Las Palmas,0,0,Athletic Club
00-01,Jornada 25,3/4/2001,Numancia,1,0,Racing de Santander
00-01,Jornada 25,3/4/2001,Osasuna,2,1,Valladolid
00-01,Jornada 25,3/4/2001,Villarreal,1,2,Málaga
00-01,Jornada 26,3/10/2001,Athletic Club,1,1,Villarreal
00-01,Jornada 26,3/10/2001,Deportivo de La Coruña,4,1,Numancia
00-01,Jornada 26,3/10/2001,Valencia,1,0,Osasuna
00-01,Jornada 26,3/11/2001,Barcelona,1,1,Mallorca
00-01,Jornada 26,3/11/2001,Alavés,4,2,Rayo Vallecano
00-01,Jornada 26,3/11/2001,Málaga,2,0,Real Zaragoza
00-01,Jornada 26,3/11/2001,Racing de Santander,2,1,Las Palmas
00-01,Jornada 26,3/11/2001,Real Madrid,4,0,Real Sociedad
00-01,Jornada 26,3/11/2001,Real Oviedo,2,2,Espanyol
00-01,Jornada 26,3/11/2001,Valladolid,1,2,Celta de Vigo
00-01,Jornada 27,3/17/2001,Las Palmas,2,0,Deportivo de La Coruña
00-01,Jornada 27,3/18/2001,Celta de Vigo,3,2,Valencia
00-01,Jornada 27,3/18/2001,Espanyol,1,0,Valladolid
00-01,Jornada 27,3/18/2001,Mallorca,1,0,Real Madrid
00-01,Jornada 27,3/18/2001,Numancia,1,1,Barcelona
00-01,Jornada 27,3/18/2001,Osasuna,3,3,Málaga
00-01,Jornada 27,3/18/2001,Real Sociedad,1,1,Alavés
00-01,Jornada 27,3/18/2001,Rayo Vallecano,0,2,Real Oviedo
00-01,Jornada 27,3/18/2001,Villarreal,4,2,Racing de Santander
00-01,Jornada 27,3/18/2001,Real Zaragoza,2,2,Athletic Club
00-01,Jornada 28,3/31/2001,Deportivo de La Coruña,4,2,Villarreal
00-01,Jornada 28,3/31/2001,Málaga,1,4,Celta de Vigo
00-01,Jornada 28,3/31/2001,Real Madrid,1,0,Numancia
00-01,Jornada 28,3/31/2001,Valencia,0,1,Espanyol
00-01,Jornada 28,4/1/2001,Athletic Club,0,1,Osasuna
00-01,Jornada 28,4/1/2001,Barcelona,4,1,Las Palmas
00-01,Jornada 28,4/1/2001,Mallorca,1,1,Real Sociedad
00-01,Jornada 28,4/1/2001,Racing de Santander,2,1,Real Zaragoza
00-01,Jornada 28,4/1/2001,Real Oviedo,3,3,Alavés
00-01,Jornada 28,4/1/2001,Valladolid,1,3,Rayo Vallecano
00-01,Jornada 29,4/7/2001,Rayo Vallecano,1,4,Valencia
00-01,Jornada 29,4/8/2001,Celta de Vigo,2,1,Athletic Club
00-01,Jornada 29,4/8/2001,Alavés,4,2,Valladolid
00-01,Jornada 29,4/8/2001,Espanyol,1,2,Málaga
00-01,Jornada 29,4/8/2001,Las Palmas,0,1,Real Madrid
00-01,Jornada 29,4/8/2001,Numancia,0,2,Mallorca
00-01,Jornada 29,4/8/2001,Osasuna,1,1,Racing de Santander
00-01,Jornada 29,4/8/2001,Real Sociedad,3,0,Real Oviedo
00-01,Jornada 29,4/8/2001,Villarreal,4,4,Barcelona
00-01,Jornada 29,4/8/2001,Real Zaragoza,2,1,Deportivo de La Coruña
00-01,Jornada 30,4/14/2001,Barcelona,4,4,Real Zaragoza
00-01,Jornada 30,4/14/2001,Deportivo de La Coruña,2,1,Osasuna
00-01,Jornada 30,4/14/2001,Real Madrid,4,0,Villarreal
00-01,Jornada 30,4/14/2001,Valencia,1,2,Alavés
00-01,Jornada 30,4/15/2001,Athletic Club,0,1,Espanyol
00-01,Jornada 30,4/15/2001,Málaga,1,1,Rayo Vallecano
00-01,Jornada 30,4/15/2001,Mallorca,2,1,Las Palmas
00-01,Jornada 30,4/15/2001,Numancia,3,3,Real Sociedad
00-01,Jornada 30,4/15/2001,Racing de Santander,3,0,Celta de Vigo
00-01,Jornada 30,4/15/2001,Valladolid,1,0,Real Oviedo
00-01,Jornada 31,4/21/2001,Celta de Vigo,2,1,Deportivo de La Coruña
00-01,Jornada 31,4/22/2001,Alavés,1,2,Málaga
00-01,Jornada 31,4/22/2001,Espanyol,3,0,Racing de Santander
00-01,Jornada 31,4/22/2001,Las Palmas,1,1,Numancia
00-01,Jornada 31,4/22/2001,Osasuna,3,1,Barcelona
00-01,Jornada 31,4/22/2001,Real Sociedad,3,1,Valladolid
00-01,Jornada 31,4/22/2001,Rayo Vallecano,1,2,Athletic Club
00-01,Jornada 31,4/22/2001,Real Oviedo,0,0,Valencia
00-01,Jornada 31,4/22/2001,Villarreal,2,2,Mallorca
00-01,Jornada 31,4/22/2001,Real Zaragoza,2,3,Real Madrid
00-01,Jornada 32,4/28/2001,Real Madrid,1,1,Osasuna
00-01,Jornada 32,4/28/2001,Valencia,1,0,Valladolid
00-01,Jornada 32,4/29/2001,Athletic Club,2,0,Alavés
00-01,Jornada 32,4/29/2001,Barcelona,1,1,Celta de Vigo
00-01,Jornada 32,4/29/2001,Deportivo de La Coruña,1,0,Espanyol
00-01,Jornada 32,4/29/2001,Las Palmas,2,1,Real Sociedad
00-01,Jornada 32,4/29/2001,Málaga,2,2,Real Oviedo
00-01,Jornada 32,4/29/2001,Mallorca,2,1,Real Zaragoza
00-01,Jornada 32,4/29/2001,Numancia,1,3,Villarreal
00-01,Jornada 32,4/29/2001,Racing de Santander,1,1,Rayo Vallecano
00-01,Jornada 33,5/5/2001,Celta de Vigo,3,0,Real Madrid
00-01,Jornada 33,5/5/2001,Espanyol,0,0,Barcelona
00-01,Jornada 33,5/5/2001,Real Sociedad,1,2,Valencia
00-01,Jornada 33,5/6/2001,Alavés,5,1,Racing de Santander
00-01,Jornada 33,5/6/2001,Osasuna,1,0,Mallorca
00-01,Jornada 33,5/6/2001,Rayo Vallecano,1,1,Deportivo de La Coruña
00-01,Jornada 33,5/6/2001,Real Oviedo,5,0,Athletic Club
00-01,Jornada 33,5/6/2001,Valladolid,0,0,Málaga
00-01,Jornada 33,5/6/2001,Villarreal,2,1,Las Palmas
00-01,Jornada 33,5/6/2001,Real Zaragoza,3,1,Numancia
00-01,Jornada 34,5/11/2001,Deportivo de La Coruña,2,1,Alavés
00-01,Jornada 34,5/12/2001,Villarreal,1,3,Real Sociedad
00-01,Jornada 34,5/13/2001,Athletic Club,1,1,Valladolid
00-01,Jornada 34,5/13/2001,Barcelona,5,1,Rayo Vallecano
00-01,Jornada 34,5/13/2001,Las Palmas,2,1,Real Zaragoza
00-01,Jornada 34,5/13/2001,Málaga,3,0,Valencia
00-01,Jornada 34,5/13/2001,Mallorca,2,0,Celta de Vigo
00-01,Jornada 34,5/13/2001,Numancia,1,0,Osasuna
00-01,Jornada 34,5/13/2001,Racing de Santander,2,0,Real Oviedo
00-01,Jornada 34,5/13/2001,Real Madrid,2,2,Espanyol
00-01,Jornada 35,5/18/2001,Valencia,1,0,Athletic Club
00-01,Jornada 35,5/19/2001,Alavés,0,1,Barcelona
00-01,Jornada 35,5/20/2001,Celta de Vigo,1,1,Numancia
00-01,Jornada 35,5/20/2001,Espanyol,0,1,Mallorca
00-01,Jornada 35,5/20/2001,Osasuna,3,3,Las Palmas
00-01,Jornada 35,5/20/2001,Real Sociedad,4,0,Málaga
00-01,Jornada 35,5/20/2001,Rayo Vallecano,0,1,Real Madrid
00-01,Jornada 35,5/20/2001,Real Oviedo,2,3,Deportivo de La Coruña
00-01,Jornada 35,5/20/2001,Valladolid,1,1,Racing de Santander
00-01,Jornada 35,5/20/2001,Real Zaragoza,0,0,Villarreal
00-01,Jornada 36,5/26/2001,Las Palmas,0,1,Celta de Vigo
00-01,Jornada 36,5/26/2001,Real Madrid,5,0,Alavés
00-01,Jornada 36,5/27/2001,Athletic Club,1,3,Málaga
00-01,Jornada 36,5/27/2001,Barcelona,0,1,Real Oviedo
00-01,Jornada 36,5/27/2001,Deportivo de La Coruña,1,2,Valladolid
00-01,Jornada 36,5/27/2001,Mallorca,4,0,Rayo Vallecano
00-01,Jornada 36,5/27/2001,Numancia,2,1,Espanyol
00-01,Jornada 36,5/27/2001,Racing de Santander,1,1,Valencia
00-01,Jornada 36,5/27/2001,Villarreal,2,0,Osasuna
00-01,Jornada 36,5/27/2001,Real Zaragoza,1,1,Real Sociedad
00-01,Jornada 37,6/10/2001,Athletic Club,1,3,Real Sociedad
00-01,Jornada 37,6/10/2001,Celta de Vigo,1,0,Villarreal
00-01,Jornada 37,6/10/2001,Alavés,2,4,Mallorca
00-01,Jornada 37,6/10/2001,Espanyol,3,2,Las Palmas
00-01,Jornada 37,6/10/2001,Málaga,2,1,Racing de Santander
00-01,Jornada 37,6/10/2001,Osasuna,1,0,Real Zaragoza
00-01,Jornada 37,6/10/2001,Rayo Vallecano,2,1,Numancia
00-01,Jornada 37,6/10/2001,Real Oviedo,1,1,Real Madrid
00-01,Jornada 37,6/10/2001,Valencia,0,1,Deportivo de La Coruña
00-01,Jornada 37,6/10/2001,Valladolid,2,2,Barcelona
00-01,Jornada 38,6/16/2001,Las Palmas,1,0,Rayo Vallecano
00-01,Jornada 38,6/16/2001,Numancia,2,1,Alavés
00-01,Jornada 38,6/16/2001,Racing de Santander,3,0,Athletic Club
00-01,Jornada 38,6/16/2001,Villarreal,4,0,Espanyol
00-01,Jornada 38,6/17/2001,Barcelona,3,2,Valencia
00-01,Jornada 38,6/17/2001,Deportivo de La Coruña,4,0,Málaga
00-01,Jornada 38,6/17/2001,Mallorca,4,2,Real Oviedo
00-01,Jornada 38,6/17/2001,Real Sociedad,0,1,Osasuna
00-01,Jornada 38,6/17/2001,Real Madrid,2,1,Valladolid
00-01,Jornada 38,6/17/2001,Real Zaragoza,1,1,Celta de Vigo
01-02,Jornada 1,8/25/2001,Valencia,1,0,Real Madrid
01-02,Jornada 1,8/26/2001,Deportivo de La Coruña,4,0,Valladolid
01-02,Jornada 1,8/26/2001,Espanyol,2,1,Real Zaragoza
01-02,Jornada 1,8/26/2001,Málaga,3,2,Betis
01-02,Jornada 1,8/26/2001,Mallorca,0,3,Las Palmas
01-02,Jornada 1,8/26/2001,Osasuna,0,3,Celta de Vigo
